Rate,movieCd
0,20161725
0,20163183
0,20162025
0,20144641
0,20167904
0,20161872
0,20162727
0,20162183
0,20152371
0,20165285
0,20154661
0,20161701
0,20161603
0,20162545
0,20159286
0,20164527
0,20153401
0,20161763
0,20165543
0,19890291
0,20150966
0,20165925
0,20080893
0,20160221
0,20163014
0,20151181
0,20154342
0,20155223
0,20167286
0,20161084
0,20165153
0,20145486
0,20165061
0,20164485
0,20151228
0,20165144
0,20101406
0,20151229
0,19880070
0,19688044
0,20110014
0,20157631
0,20160261
0,20164421
0,20168381
0,20168324
0,20163845
0,20168246
0,20167127
0,20165443
0,20160881
0,20149384
0,20155700
0,19600018
0,20168664
0,20163186
0,20010130
0,20167324
0,20168104
0,20168086
0,20168088
0,20168087
0,20166421
0,20167644
0,20168154
0,20179481
0,20158482
0,20168688
0,20167285
0,20158799
0,19598036
0,20168689
0,20165822
0,20168611
0,20168366
0,19820052
0,20166707
0,19730023
0,20150964
