,movieCd,movieNm,director,Rate,Unnamed: 0,1,2,3,4
0,20161725,마스터,,0,0.0,145162.0,8.65,5.77,8.1
1,20163183,로그 원: 스타워즈 스토리,,0,1.0,136868.0,8.34,7.16,8.44
2,20162025,씽,,0,3.0,144938.0,8.99,6.71,8.96
3,20144641,판도라,,0,4.0,132933.0,8.78,5.92,8.31
4,20167904,라라랜드,,0,2.0,134963.0,8.9,8.34,8.59
5,20161872,너의 이름은.,,0,6.0,150198.0,9.02,7.55,8.75
6,20162727,루돌프와 많이있어,,0,12.0,153951.0,8.73,6.38,8.8
7,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,,0,13.0,152265.0,8.74,0.0,8.75
8,20152371,"당신, 거기 있어줄래요",,0,5.0,145292.0,8.8,5.44,8.68
9,20165285,극장판 도라에몽: 신 진구의 버스 오브 재팬,,0,22.0,141675.0,8.95,0.0,9.04
10,19890291,해리가 샐리를 만났을 때,,0,34.0,10250.0,7.75,8.5,8.9
11,20161763,"나, 다니엘 블레이크",,0,20.0,150376.0,9.28,8.4,9.25
12,20163014,7년-그들이 없는 언론,,0,70.0,146526.0,9.48,6.0,8.54
13,20161084,패신저스,,0,8.0,116233.0,8.03,5.5,7.95
14,20150966,사랑하기 때문에,,0,14.0,140010.0,8.39,6.0,8.03
15,20165153,눈의 여왕 3: 눈과 불의 마법대결,,0,39.0,156675.0,8.34,0.0,8.57
16,20151181,여교사,,0,9.0,139673.0,7.31,6.78,6.61
17,20164421,어쌔신 크리드,,0,30.0,118307.0,7.29,5.67,7.1
18,20168381,얼라이드,,0,48.0,149777.0,8.58,6.5,8.86
19,20168324,반지의 제왕 : 반지원정대 (확장판),,0,56.0,31794.0,0.0,0.0,9.29
20,20165443,모아나,,0,64.0,130849.0,9.22,6.4,9.15
21,20151229,더 킹,,0,18.0,144314.0,8.39,6.83,8.08
22,20151228,공조,,0,46.0,142384.0,8.83,5.0,8.27
23,20163845,터닝메카드W: 블랙미러의 부활,,0,85.0,155484.0,8.87,0.0,8.73
24,20168664,반지의 제왕 : 두개의 탑 (확장판),,0,94.0,31795.0,0.0,0.0,9.34
25,20163186,단지 세상의 끝,,0,88.0,137958.0,7.66,6.9,7.46
26,20168688,레지던트 이블: 파멸의 날,,0,57.0,110333.0,8.59,6.0,8.38
27,20168154,딥워터 호라이즌,,0,40.0,137346.0,8.77,6.5,8.05
28,20167285,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,,0,105.0,149050.0,8.76,0.0,8.86
29,20168689,반지의 제왕 : 왕의 귀환 (확장판),,0,102.0,31796.0,0.0,0.0,9.37
30,20168366,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,,0,125.0,158266.0,8.3,0.0,8.27
