movieCd,movieNm,director,Rate
20171962,킬러의 보디가드,,0
20162442,청년경찰,,0
20162869,택시운전사,,0
20158047,발레리안: 천 개 행성의 도시,,0
20164174,브이아이피,,0
20179491,아토믹 블론드,,0
20151003,장산범,,0
20179407,로마의 휴일,,0
20179901,혹성탈출: 종의 전쟁,,0
20179187,공범자들,,0
20166132,김광석,,0
20154909,살인자의 기억법,,0
20179696,그것,,0
20174142,아이 캔 스피크,,0
20170268,매혹당한 사람들,,0
20171022,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,,0
20171923,저수지 게임,,0
20172148,몬스터 섬의 비밀,,0
20160703,"좋아해, 너를",,0
20171090,베이비 드라이버,,0
20177541,아메리칸 메이드,,0
20170607,몬스터 콜,,0
20170302,윈드 리버,,0
20172742,범죄도시,,0
20161481,군함도,,0
20168241,잃어버린 도시 Z,,0
20173945,인비저블 게스트,,0
20165450,남한산성,,0
20175222,킹스맨: 골든 서클,,0
20172142,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,,0
20171312,우리의 20세기,,0
20170364,레고 닌자고 무비,,0
20172627,리틀 프린세스 소피아 : 신비한 섬,,0
